nombre,tipo,criterio,minimo,maximo,unidad,fuente
Lengua de suegra (Sansevieria trifasciata),sansevieria,humedad,30,60,%,https://botanicaly.com/es/plant-care/sansevieria-trifasciata#light
Lengua de suegra (Sansevieria trifasciata),sansevieria,iluminacion,100,800,lux,https://botanicaly.com/es/plant-care/sansevieria-trifasciata#light
Lengua de suegra (Sansevieria trifasciata),sansevieria,temperatura,18,35,C,https://botanicaly.com/es/plant-care/sansevieria-trifasciata#light
Aloe vera (Aloe barbadensis),aloe_vera,humedad,30,60,%,https://botanicaly.com/es/plant-care/aloe-vera-aloe-barbadensis
Aloe vera (Aloe barbadensis),aloe_vera,iluminacion,1000,5000,lux,https://botanicaly.com/es/plant-care/aloe-vera-aloe-barbadensis
Aloe vera (Aloe barbadensis),aloe_vera,temperatura,18,27,C,https://botanicaly.com/es/plant-care/aloe-vera-aloe-barbadensis
Arbol del caucho (Ficus elastica),ficus_elastica,humedad,40,70,%,https://botanicaly.com/es/plant-care/ficus-elastica
Arbol del caucho (Ficus elastica),ficus_elastica,iluminacion,500,2000,lux,https://botanicaly.com/es/plant-care/ficus-elastica
Arbol del caucho (Ficus elastica),ficus_elastica,temperatura,18,29,C,https://botanicaly.com/es/plant-care/ficus-elastica
Amor de hombre (Tradescantia zebrina),tradescantia_zebrina,humedad,50,70,%,https://botanicaly.com/es/plant-care/tradescantia-zebrina
Amor de hombre (Tradescantia zebrina),tradescantia_zebrina,iluminacion,500,2000,lux,https://botanicaly.com/es/plant-care/tradescantia-zebrina
Amor de hombre (Tradescantia zebrina),tradescantia_zebrina,temperatura,18,27,C,https://botanicaly.com/es/plant-care/tradescantia-zebrina
Potos (Epipremnum aureum),potos,humedad,40,70,%,https://botanicaly.com/es/plant-care/epipremnum-aureum
Potos (Epipremnum aureum),potos,iluminacion,100,1000,lux,https://botanicaly.com/es/plant-care/epipremnum-aureum
Potos (Epipremnum aureum),potos,temperatura,18,29,C,https://botanicaly.com/es/plant-care/epipremnum-aureum
